,0,1,Freebase_ID,movie,actor,character,trope
21,big_man_on_campus,"{'char': 'Van Wilder', 'movie': ""National Lampoon's Van Wilder"", 'id': '/m/0k14rv', 'actor': 'Ryan Reynolds'}",/m/0k14rv,National Lampoon's Van Wilder,Ryan Reynolds,Van Wilder,big_man_on_campus
22,big_man_on_campus,"{'char': 'Paul Metzler', 'movie': 'Election', 'id': '/m/02vdf9d', 'actor': 'Chris Klein'}",/m/02vdf9d,Election,Chris Klein,Paul Metzler,big_man_on_campus
23,big_man_on_campus,"{'char': 'Troy Bolton', 'movie': 'High School Musical', 'id': '/m/0jzdys', 'actor': 'Zac Efron'}",/m/0jzdys,High School Musical,Zac Efron,Troy Bolton,big_man_on_campus
24,big_man_on_campus,"{'char': 'Mike Dexter', 'movie': ""Can't Hardly Wait"", 'id': '/m/03jsnmf', 'actor': 'Peter Facinelli'}",/m/03jsnmf,Can't Hardly Wait,Peter Facinelli,Mike Dexter,big_man_on_campus
25,bounty_hunter,"{'char': 'Man with No Name', 'movie': 'For a Few Dollars More', 'id': '/m/0jybsq', 'actor': 'Clint Eastwood'}",/m/0jybsq,For a Few Dollars More,Clint Eastwood,Man with No Name,bounty_hunter
26,bounty_hunter,"{'char': 'Josey Wales', 'movie': 'The Outlaw Josey Wales', 'id': '/m/0k61jr', 'actor': 'Clint Eastwood'}",/m/0k61jr,The Outlaw Josey Wales,Clint Eastwood,Josey Wales,bounty_hunter
27,bounty_hunter,"{'char': 'Jellon Lamb', 'movie': 'The Proposition', 'id': '/m/06wh7_d', 'actor': 'John Hurt'}",/m/06wh7_d,The Proposition,John Hurt,Jellon Lamb,bounty_hunter
28,bounty_hunter,"{'char': 'Beck', 'movie': 'The Rundown', 'id': '/m/0k6bqx', 'actor': 'The Rock'}",/m/0k6bqx,The Rundown,The Rock,Beck,bounty_hunter
29,bounty_hunter,"{'char': 'Rick Deckard', 'movie': 'Blade Runner', 'id': '/m/0jvhbm', 'actor': 'Harrison Ford'}",/m/0jvhbm,Blade Runner,Harrison Ford,Rick Deckard,bounty_hunter
30,bounty_hunter,"{'char': 'Leonard Smalls', 'movie': 'Raising Arizona', 'id': '/m/02vbtgt', 'actor': 'Randall ""Tex"" Cobb'}",/m/02vbtgt,Raising Arizona,"Randall ""Tex"" Cobb",Leonard Smalls,bounty_hunter
31,bounty_hunter,"{'char': 'Jack Walsh', 'movie': 'Midnight Run', 'id': '/m/0k0n9r', 'actor': 'Robert De Niro'}",/m/0k0n9r,Midnight Run,Robert De Niro,Jack Walsh,bounty_hunter
32,bounty_hunter,"{'char': 'Milo Boyd', 'movie': 'The Bounty Hunter', 'id': '/m/0772tb3', 'actor': 'Gerard Butler'}",/m/0772tb3,The Bounty Hunter,Gerard Butler,Milo Boyd,bounty_hunter
33,bounty_hunter,"{'char': 'Toombs', 'movie': 'The Chronicles of Riddick', 'id': '/m/0k4qdz', 'actor': 'Nick Chinlund'}",/m/0k4qdz,The Chronicles of Riddick,Nick Chinlund,Toombs,bounty_hunter
34,bounty_hunter,"{'char': 'Nick Randall', 'movie': 'Wanted: Dead or Alive', 'id': '/m/03jsm0f', 'actor': 'Rutger Hauer'}",/m/03jsm0f,Wanted: Dead or Alive,Rutger Hauer,Nick Randall,bounty_hunter
35,brainless_beauty,"{'char': 'Gemma Honeycutt', 'movie': ""Fool's Gold"", 'id': '/m/04dddz5', 'actor': 'Alexis Dziena'}",/m/04dddz5,Fool's Gold,Alexis Dziena,Gemma Honeycutt,brainless_beauty
36,brainless_beauty,"{'char': 'Matt Mateo', 'movie': 'The Opposite of Sex', 'id': '/m/02tbdw7', 'actor': 'Ivan Sergei'}",/m/02tbdw7,The Opposite of Sex,Ivan Sergei,Matt Mateo,brainless_beauty
37,brainless_beauty,"{'char': 'Paul Metzler', 'movie': 'Election', 'id': '/m/02vdf9d', 'actor': 'Chris Klein'}",/m/02vdf9d,Election,Chris Klein,Paul Metzler,brainless_beauty
38,brainless_beauty,"{'char': 'Shelley Darlingson', 'movie': 'The House Bunny', 'id': '/m/04dgw4t', 'actor': 'Anna Faris'}",/m/04dgw4t,The House Bunny,Anna Faris,Shelley Darlingson,brainless_beauty
39,brainless_beauty,"{'char': 'Brace Channing', 'movie': 'My Favorite Martian', 'id': '/m/03lvf22', 'actor': 'Elizabeth Hurley'}",/m/03lvf22,My Favorite Martian,Elizabeth Hurley,Brace Channing,brainless_beauty
40,brainless_beauty,"{'char': 'Mia', 'movie': 'Stan Helsing', 'id': '/m/0gc3g1p', 'actor': 'Desi Lydic'}",/m/0gc3g1p,Stan Helsing,Desi Lydic,Mia,brainless_beauty
41,brainless_beauty,"{'char': 'Marcia Brady', 'movie': 'The Brady Bunch Movie', 'id': '/m/0k4k_5', 'actor': 'Christine Taylor'}",/m/0k4k_5,The Brady Bunch Movie,Christine Taylor,Marcia Brady,brainless_beauty
42,brainless_beauty,"{'char': 'Chris', 'movie': 'Roxanne', 'id': '/m/0k2q15', 'actor': 'Rick Rossovich'}",/m/0k2q15,Roxanne,Rick Rossovich,Chris,brainless_beauty
43,brainless_beauty,"{'char': 'Buffy Summers', 'movie': 'Buffy the Vampire Slayer', 'id': '/m/0jvy0r', 'actor': 'Kristy Swanson'}",/m/0jvy0r,Buffy the Vampire Slayer,Kristy Swanson,Buffy Summers,brainless_beauty
44,brainless_beauty,"{'char': 'Brad', 'movie': 'Extract', 'id': '/m/0b3trzf', 'actor': 'Dustin Milligan'}",/m/0b3trzf,Extract,Dustin Milligan,Brad,brainless_beauty
45,brainless_beauty,"{'char': 'Jack Bartlett', 'movie': 'Sugar & Spice', 'id': '/m/0cg2m9s', 'actor': 'James Marsden'}",/m/0cg2m9s,Sugar & Spice,James Marsden,Jack Bartlett,brainless_beauty
46,brainless_beauty,"{'char': 'Maggie Feller', 'movie': 'In Her Shoes', 'id': '/m/0jzvtp', 'actor': 'Cameron Diaz'}",/m/0jzvtp,In Her Shoes,Cameron Diaz,Maggie Feller,brainless_beauty
47,broken_bird,"{'char': 'Chelsea Deardon', 'movie': 'Legal Eagles', 'id': '/m/0j_wlm', 'actor': 'Daryl Hannah'}",/m/0j_wlm,Legal Eagles,Daryl Hannah,Chelsea Deardon,broken_bird
48,broken_bird,"{'char': 'Mad Hatter', 'movie': 'Alice in Wonderland', 'id': '/m/04q4dng', 'actor': 'Johnny Depp'}",/m/04q4dng,Alice in Wonderland,Johnny Depp,Mad Hatter,broken_bird
49,broken_bird,"{'char': 'Nicole Oakley', 'movie': 'Crazy/Beautiful', 'id': '/m/0jwrqb', 'actor': 'Kirsten Dunst'}",/m/0jwrqb,Crazy/Beautiful,Kirsten Dunst,Nicole Oakley,broken_bird
50,broken_bird,"{'char': 'Annie Newton', 'movie': 'The Invisible', 'id': '/m/02tbbww', 'actor': 'Margarita Levieva'}",/m/02tbbww,The Invisible,Margarita Levieva,Annie Newton,broken_bird
51,broken_bird,"{'char': 'Nina Sayers', 'movie': 'Black Swan', 'id': '/m/0cccx3m', 'actor': 'Natalie Portman'}",/m/0cccx3m,Black Swan,Natalie Portman,Nina Sayers,broken_bird
52,bromantic_foil,"{'char': 'Randal Graves', 'movie': 'Clerks.', 'id': '/m/0jwj18', 'actor': 'Jeff Anderson'}",/m/0jwj18,Clerks.,Jeff Anderson,Randal Graves,bromantic_foil
53,bromantic_foil,"{'char': 'Randal Graves', 'movie': 'Clerks II', 'id': '/m/09vvrb_', 'actor': 'Jeff Anderson'}",/m/09vvrb_,Clerks II,Jeff Anderson,Randal Graves,bromantic_foil
54,bromantic_foil,"{'char': 'Brodie Bruce', 'movie': 'Mallrats', 'id': '/m/07ldy8x', 'actor': 'Jason Lee'}",/m/07ldy8x,Mallrats,Jason Lee,Brodie Bruce,bromantic_foil
55,bromantic_foil,"{'char': 'Banky Edwards', 'movie': 'Chasing Amy', 'id': '/m/05ckj7h', 'actor': 'Jason Lee'}",/m/05ckj7h,Chasing Amy,Jason Lee,Banky Edwards,bromantic_foil
56,bromantic_foil,"{'char': 'Ed', 'movie': 'Shaun of the Dead', 'id': '/m/0k35nb', 'actor': 'Nick Frost'}",/m/0k35nb,Shaun of the Dead,Nick Frost,Ed,bromantic_foil
57,bruiser_with_a_soft_center,"{'char': 'Hellboy', 'movie': 'Hellboy: Blood and Iron', 'id': '/m/0jzb66', 'actor': 'Ron Perlman'}",/m/0jzb66,Hellboy: Blood and Iron,Ron Perlman,Hellboy,bruiser_with_a_soft_center
58,bruiser_with_a_soft_center,"{'char': 'Tron', 'movie': 'Tron', 'id': '/m/0hcfdd1', 'actor': 'Bruce Boxleitner'}",/m/0hcfdd1,Tron,Bruce Boxleitner,Tron,bruiser_with_a_soft_center
59,bruiser_with_a_soft_center,"{'char': 'James Bond', 'movie': 'Casino Royale', 'id': '/m/02hw79s', 'actor': 'Daniel Craig'}",/m/02hw79s,Casino Royale,Daniel Craig,James Bond,bruiser_with_a_soft_center
60,bully,"{'char': 'Biff Tannen', 'movie': 'Back to the Future', 'id': '/m/0jty60', 'actor': 'Thomas F. Wilson'}",/m/0jty60,Back to the Future,Thomas F. Wilson,Biff Tannen,bully
61,bully,"{'char': 'Scut Farkus', 'movie': 'A Christmas Story', 'id': '/m/0jsprx', 'actor': 'Zack Ward'}",/m/0jsprx,A Christmas Story,Zack Ward,Scut Farkus,bully
62,bully,"{'char': 'Vanessa', 'movie': 'The Grudge 2', 'id': '/m/0k592n', 'actor': 'Teresa Palmer'}",/m/0k592n,The Grudge 2,Teresa Palmer,Vanessa,bully
63,byronic_hero,"{'char': 'Jake LaMotta', 'movie': 'Raging Bull', 'id': '/m/0k28_g', 'actor': 'Robert De Niro'}",/m/0k28_g,Raging Bull,Robert De Niro,Jake LaMotta,byronic_hero
64,byronic_hero,"{'char': 'James Bond', 'movie': 'Casino Royale', 'id': '/m/02hw79s', 'actor': 'Daniel Craig'}",/m/02hw79s,Casino Royale,Daniel Craig,James Bond,byronic_hero
65,byronic_hero,"{'char': 'Travis Bickle', 'movie': 'Taxi Driver', 'id': '/m/0k43s9', 'actor': 'Robert De Niro'}",/m/0k43s9,Taxi Driver,Robert De Niro,Travis Bickle,byronic_hero
66,byronic_hero,"{'char': 'Anakin Skywalker', 'movie': 'Star Wars Episode III: Revenge of the Sith', 'id': '/m/02sg5ry', 'actor': 'Hayden Christensen'}",/m/02sg5ry,Star Wars Episode III: Revenge of the Sith,Hayden Christensen,Anakin Skywalker,byronic_hero
67,byronic_hero,"{'char': 'Martin Q. Blank', 'movie': 'Grosse Pointe Blank', 'id': '/m/0jz0wk', 'actor': 'John Cusack'}",/m/0jz0wk,Grosse Pointe Blank,John Cusack,Martin Q. Blank,byronic_hero
68,byronic_hero,"{'char': 'Brand Hauser', 'movie': 'War Inc.', 'id': '/m/02vczvr', 'actor': 'John Cusack'}",/m/02vczvr,War Inc.,John Cusack,Brand Hauser,byronic_hero
69,byronic_hero,"{'char': 'Cobb', 'movie': 'Inception', 'id': '/m/0667g_f', 'actor': 'Leonardo DiCaprio'}",/m/0667g_f,Inception,Leonardo DiCaprio,Cobb,byronic_hero
70,byronic_hero,"{'char': 'Achilles', 'movie': 'Troy', 'id': '/m/0k7ckp', 'actor': 'Brad Pitt'}",/m/0k7ckp,Troy,Brad Pitt,Achilles,byronic_hero
71,byronic_hero,"{'char': 'Britt Reid', 'movie': 'The Green Hornet', 'id': '/m/0h5m_9x', 'actor': 'Seth Rogen'}",/m/0h5m_9x,The Green Hornet,Seth Rogen,Britt Reid,byronic_hero
72,byronic_hero,"{'char': 'Donnie Darko', 'movie': 'Donnie Darko', 'id': '/m/0jxftx', 'actor': 'Jake Gyllenhaal'}",/m/0jxftx,Donnie Darko,Jake Gyllenhaal,Donnie Darko,byronic_hero
73,byronic_hero,"{'char': 'Captain Jack Sparrow', 'movie': ""Pirates of the Caribbean: Dead Man's Chest"", 'id': '/m/0k1xxm', 'actor': 'Johnny Depp'}",/m/0k1xxm,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Captain Jack Sparrow,byronic_hero
74,byronic_hero,"{'char': 'John Wilmot, 2nd Earl of Rochester', 'movie': 'The Libertine', 'id': '/m/0k5ptk', 'actor': 'Johnny Depp'}",/m/0k5ptk,The Libertine,Johnny Depp,"John Wilmot, 2nd Earl of Rochester",byronic_hero
75,byronic_hero,"{'char': 'Robert Angier', 'movie': 'The Prestige', 'id': '/m/0k65k8', 'actor': 'Hugh Jackman'}",/m/0k65k8,The Prestige,Hugh Jackman,Robert Angier,byronic_hero
76,byronic_hero,"{'char': 'Tony Stark', 'movie': 'Iron Man', 'id': '/m/0j1__hv', 'actor': 'Robert Downey Jr.'}",/m/0j1__hv,Iron Man,Robert Downey Jr.,Tony Stark,byronic_hero
77,byronic_hero,"{'char': 'Loki', 'movie': 'Thor', 'id': '/m/0855mjk', 'actor': 'Tom Hiddleston'}",/m/0855mjk,Thor,Tom Hiddleston,Loki,byronic_hero
78,byronic_hero,"{'char': 'Lenny Nero', 'movie': 'Strange Days', 'id': '/m/0k3tt_', 'actor': 'Ralph Fiennes'}",/m/0k3tt_,Strange Days,Ralph Fiennes,Lenny Nero,byronic_hero
79,byronic_hero,"{'char': ""Bill 'The Butcher' Cutting"", 'movie': 'Gangs of New York', 'id': '/m/0jynbm', 'actor': 'Daniel Day-Lewis'}",/m/0jynbm,Gangs of New York,Daniel Day-Lewis,Bill 'The Butcher' Cutting,byronic_hero
80,casanova,"{'char': 'Giacomo Casanova', 'movie': 'Casanova', 'id': '/m/0jw4mw', 'actor': 'Heath Ledger'}",/m/0jw4mw,Casanova,Heath Ledger,Giacomo Casanova,casanova
81,casanova,"{'char': 'Telly', 'movie': 'Kids', 'id': '/m/0j_flm', 'actor': 'Leo Fitzpatrick'}",/m/0j_flm,Kids,Leo Fitzpatrick,Telly,casanova
82,casanova,"{'char': 'Tony Stark', 'movie': 'Iron Man', 'id': '/m/0j1__hv', 'actor': 'Robert Downey Jr.'}",/m/0j1__hv,Iron Man,Robert Downey Jr.,Tony Stark,casanova
83,casanova,"{'char': 'Dorian Gray', 'movie': 'The League of Extraordinary Gentlemen', 'id': '/m/0dkcy1f', 'actor': 'Stuart Townsend'}",/m/0dkcy1f,The League of Extraordinary Gentlemen,Stuart Townsend,Dorian Gray,casanova
84,casanova,"{'char': 'John Wilmot, 2nd Earl of Rochester', 'movie': 'The Libertine', 'id': '/m/0k5ptk', 'actor': 'Johnny Depp'}",/m/0k5ptk,The Libertine,Johnny Depp,"John Wilmot, 2nd Earl of Rochester",casanova
85,casanova,"{'char': 'Timothy', 'movie': 'The Long Kiss Goodnight', 'id': '/m/02vch3p', 'actor': 'Craig Bierko'}",/m/02vch3p,The Long Kiss Goodnight,Craig Bierko,Timothy,casanova
86,casanova,"{'char': 'Johnny Wickham', 'movie': 'Bride and Prejudice', 'id': '/m/0cf_wtd', 'actor': 'Daniel Gillies'}",/m/0cf_wtd,Bride and Prejudice,Daniel Gillies,Johnny Wickham,casanova
87,chanteuse,"{'char': 'Jessica Rabbit', 'movie': 'Who Framed Roger Rabbit', 'id': '/m/02wszk9', 'actor': 'Kathleen Turner'}",/m/02wszk9,Who Framed Roger Rabbit,Kathleen Turner,Jessica Rabbit,chanteuse
88,chanteuse,"{'char': 'Tina Carlyle', 'movie': 'The Mask', 'id': '/m/0k5wls', 'actor': 'Cameron Diaz'}",/m/0k5wls,The Mask,Cameron Diaz,Tina Carlyle,chanteuse
89,chanteuse,"{'char': 'Susie Diamond', 'movie': 'The Fabulous Baker Boys', 'id': '/m/0k50tl', 'actor': 'Michelle Pfeiffer'}",/m/0k50tl,The Fabulous Baker Boys,Michelle Pfeiffer,Susie Diamond,chanteuse
90,chanteuse,"{'char': 'Sugar Kane Kowalczyk', 'movie': 'Some Like It Hot', 'id': '/m/0k3j8v', 'actor': 'Marilyn Monroe'}",/m/0k3j8v,Some Like It Hot,Marilyn Monroe,Sugar Kane Kowalczyk,chanteuse
91,chanteuse,"{'char': 'Dorothy Vallens', 'movie': 'Blue Velvet', 'id': '/m/0jvlc4', 'actor': 'Isabella Rossellini'}",/m/0jvlc4,Blue Velvet,Isabella Rossellini,Dorothy Vallens,chanteuse
92,chanteuse,"{'char': 'Ellen Aim', 'movie': 'Streets of Fire', 'id': '/m/0k3w12', 'actor': 'Diane Lane'}",/m/0k3w12,Streets of Fire,Diane Lane,Ellen Aim,chanteuse
93,charmer,"{'char': 'James Bond', 'movie': 'Casino Royale', 'id': '/m/02hw79s', 'actor': 'Daniel Craig'}",/m/02hw79s,Casino Royale,Daniel Craig,James Bond,charmer
94,charmer,"{'char': 'Han Solo', 'movie': 'Star Wars Episode IV: A New Hope', 'id': '/m/0k3r1_', 'actor': 'Harrison Ford'}",/m/0k3r1_,Star Wars Episode IV: A New Hope,Harrison Ford,Han Solo,charmer
95,charmer,"{'char': 'Captain Jack Sparrow', 'movie': ""Pirates of the Caribbean: Dead Man's Chest"", 'id': '/m/0k1xxm', 'actor': 'Johnny Depp'}",/m/0k1xxm,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Captain Jack Sparrow,charmer
96,charmer,"{'char': 'Frank Abagnale Jr.', 'movie': 'Catch Me If You Can', 'id': '/m/0jw5pq', 'actor': 'Leonardo DiCaprio'}",/m/0jw5pq,Catch Me If You Can,Leonardo DiCaprio,Frank Abagnale Jr.,charmer
97,charmer,"{'char': 'Harold Hill', 'movie': 'The Music Man', 'id': '/m/04hv61w', 'actor': 'Matthew Broderick'}",/m/04hv61w,The Music Man,Matthew Broderick,Harold Hill,charmer
98,charmer,"{'char': 'Flynn Rider', 'movie': 'Tangled', 'id': '/m/07sl05m', 'actor': 'Zachary Levi'}",/m/07sl05m,Tangled,Zachary Levi,Flynn Rider,charmer
99,charmer,"{'char': 'Hannibal Lecter', 'movie': 'The Silence of the Lambs', 'id': '/m/0k6g86', 'actor': 'Anthony Hopkins'}",/m/0k6g86,The Silence of the Lambs,Anthony Hopkins,Hannibal Lecter,charmer
100,child_prodigy,"{'char': 'Anakin Skywalker', 'movie': 'Star Wars Episode I: The Phantom Menace', 'id': '/m/02sg5rn', 'actor': 'Jake Lloyd'}",/m/02sg5rn,Star Wars Episode I: The Phantom Menace,Jake Lloyd,Anakin Skywalker,child_prodigy
101,child_prodigy,"{'char': 'Chris Knight', 'movie': 'Real Genius', 'id': '/m/0k2ckt', 'actor': 'Val Kilmer'}",/m/0k2ckt,Real Genius,Val Kilmer,Chris Knight,child_prodigy
102,classy_cat_burglar,"{'char': 'Danielle Foussard', 'movie': 'To Catch a Thief', 'id': '/m/02vbgd1', 'actor': 'Brigitte Auber'}",/m/02vbgd1,To Catch a Thief,Brigitte Auber,Danielle Foussard,classy_cat_burglar
103,consummate_professional,"{'char': 'Frank Martin', 'movie': 'The Transporter', 'id': '/m/0k6r5t', 'actor': 'Jason Statham'}",/m/0k6r5t,The Transporter,Jason Statham,Frank Martin,consummate_professional
104,consummate_professional,"{'char': 'Agent Smith', 'movie': 'The Matrix', 'id': '/m/0k5wz1', 'actor': 'Hugo Weaving'}",/m/0k5wz1,The Matrix,Hugo Weaving,Agent Smith,consummate_professional
105,consummate_professional,"{'char': 'The Professor', 'movie': 'The Bourne Identity', 'id': '/m/0k4kdl', 'actor': 'Clive Owen'}",/m/0k4kdl,The Bourne Identity,Clive Owen,The Professor,consummate_professional
106,consummate_professional,"{'char': ""Sam 'Ace' Rothstein"", 'movie': 'Casino', 'id': '/m/0jw4vx', 'actor': 'Robert De Niro'}",/m/0jw4vx,Casino,Robert De Niro,Sam 'Ace' Rothstein,consummate_professional
107,corrupt_corporate_executive,"{'char': 'Dick Jones', 'movie': 'RoboCop', 'id': '/m/0k2m8v', 'actor': 'Ronny Cox'}",/m/0k2m8v,RoboCop,Ronny Cox,Dick Jones,corrupt_corporate_executive
108,corrupt_corporate_executive,"{'char': 'Cutler Beckett', 'movie': ""Pirates of the Caribbean: Dead Man's Chest"", 'id': '/m/0k1xyw', 'actor': 'Tom Hollander'}",/m/0k1xyw,Pirates of the Caribbean: Dead Man's Chest,Tom Hollander,Cutler Beckett,corrupt_corporate_executive
109,corrupt_corporate_executive,"{'char': 'Cutler Beckett', 'movie': ""Pirates of the Caribbean: At World's End"", 'id': '/m/0k1xwx', 'actor': 'Tom Hollander'}",/m/0k1xwx,Pirates of the Caribbean: At World's End,Tom Hollander,Cutler Beckett,corrupt_corporate_executive
110,corrupt_corporate_executive,"{'char': 'Max Zorin', 'movie': 'A View to a Kill', 'id': '/m/02xl2ny', 'actor': 'Christopher Walken'}",/m/02xl2ny,A View to a Kill,Christopher Walken,Max Zorin,corrupt_corporate_executive
111,corrupt_corporate_executive,"{'char': 'Carter Burke', 'movie': 'Aliens', 'id': '/m/0jt8n6', 'actor': 'Paul Reiser'}",/m/0jt8n6,Aliens,Paul Reiser,Carter Burke,corrupt_corporate_executive
112,corrupt_corporate_executive,"{'char': 'Noah Cross', 'movie': 'Chinatown', 'id': '/m/0jwcjw', 'actor': 'John Huston'}",/m/0jwcjw,Chinatown,John Huston,Noah Cross,corrupt_corporate_executive
113,corrupt_corporate_executive,"{'char': 'Doctor Doom', 'movie': 'Fantastic Four', 'id': '/m/0jy24c', 'actor': 'Julian McMahon'}",/m/0jy24c,Fantastic Four,Julian McMahon,Doctor Doom,corrupt_corporate_executive
114,corrupt_corporate_executive,"{'char': 'Kingpin', 'movie': 'Daredevil', 'id': '/m/0jwz5q', 'actor': 'Michael Clarke Duncan'}",/m/0jwz5q,Daredevil,Michael Clarke Duncan,Kingpin,corrupt_corporate_executive
115,corrupt_corporate_executive,"{'char': 'Judge Doom', 'movie': 'Who Framed Roger Rabbit', 'id': '/m/0k81j_', 'actor': 'Christopher Lloyd'}",/m/0k81j_,Who Framed Roger Rabbit,Christopher Lloyd,Judge Doom,corrupt_corporate_executive
116,corrupt_corporate_executive,"{'char': 'Conal Cochran', 'movie': 'Halloween III: Season of the Witch', 'id': '/m/0jz33w', 'actor': ""Dan O'Herlihy""}",/m/0jz33w,Halloween III: Season of the Witch,Dan O'Herlihy,Conal Cochran,corrupt_corporate_executive
117,corrupt_corporate_executive,"{'char': 'Mayor Augustus Maywho', 'movie': 'How the Grinch Stole Christmas!', 'id': '/m/0jzmfp', 'actor': 'Jeffrey Tambor'}",/m/0jzmfp,How the Grinch Stole Christmas!,Jeffrey Tambor,Mayor Augustus Maywho,corrupt_corporate_executive
